
> github-page@0.0.0 dev
> vite

Port 5173 is in use, trying another one...

  VITE v8.0.0  ready in 337 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: use --host to expose
11:09:47 PM [vite] (client) page reload dist/index.html
11:09:47 PM [vite] (client) page reload dist/index.html
11:23:16 PM [vite] (client) page reload index.html
11:23:43 PM [vite] (client) page reload dist/index.html
11:23:43 PM [vite] (client) page reload dist/index.html
11:26:13 PM [vite] (client) page reload dist/index.html
11:26:13 PM [vite] (client) page reload dist/index.html
11:28:07 PM [vite] (client) page reload dist/index.html
11:28:07 PM [vite] (client) page reload dist/index.html
11:54:51 PM [vite] (client) page reload dist/index.html
11:54:52 PM [vite] (client) page reload dist/index.html
1:52:13 AM [vite] (client) page reload dist/index.html
1:52:13 AM [vite] (client) page reload dist/index.html
2:02:48 AM [vite] (client) page reload dist/index.html
2:02:49 AM [vite] (client) page reload dist/index.html
2:28:37 AM [vite] (client) page reload dist/index.html
2:28:37 AM [vite] (client) page reload dist/index.html
2:32:07 AM [vite] (client) page reload dist/index.html
2:32:07 AM [vite] (client) page reload dist/index.html
2:33:48 AM [vite] (client) page reload dist/index.html
2:33:49 AM [vite] (client) page reload dist/index.html
2:37:04 AM [vite] (client) page reload dist/index.html
2:37:04 AM [vite] (client) page reload dist/index.html
2:38:50 AM [vite] (client) page reload dist/index.html
2:38:50 AM [vite] (client) page reload dist/index.html
2:40:58 AM [vite] (client) page reload dist/index.html
2:40:58 AM [vite] (client) page reload dist/index.html
2:43:23 AM [vite] (client) page reload dist/index.html
2:43:23 AM [vite] (client) page reload dist/index.html
2:46:08 AM [vite] (client) page reload dist/index.html
2:46:09 AM [vite] (client) page reload dist/index.html
2:49:18 AM [vite] (client) page reload dist/index.html
2:49:18 AM [vite] (client) page reload dist/index.html
2:49:56 AM [vite] (client) page reload dist/index.html
2:49:56 AM [vite] (client) page reload dist/index.html
2:53:02 AM [vite] (client) page reload dist/index.html
2:53:02 AM [vite] (client) page reload dist/index.html
2:57:56 AM [vite] (client) page reload dist/index.html
2:57:56 AM [vite] (client) page reload dist/index.html
3:01:49 AM [vite] (client) page reload dist/index.html
3:01:49 AM [vite] (client) page reload dist/index.html
3:06:45 AM [vite] vite.config.js changed, restarting server...
3:06:46 AM [vite] server restarted.
